neighbourhood_cleansed,latitude,longitude
Historic Anacostia,38.86339,-76.98889
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456
"Capitol Hill, Lincoln Park",38.88719,-76.99472
"Eastland Gardens, Kenilworth",38.90585,-76.94469
"Ivy City, Arboretum, Trinidad, Carver Langston",38.91217,-76.99249
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008
"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774
"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591
"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136
"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686
"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646
"Brightwood Park, Crestwood, Petworth",38.95528,-77.03463
"Union Station, Stanton Park, Kingman Park",38.90053,-76.99133
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598
"Shaw, Logan Circle",38.9077,-77.02431
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90493,-76.98643
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90618,-76.98498
"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876
"Howard University, Le Droit Park, Cardozo/Shaw",38.91435869686174,-77.01809903471504
"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001
"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417
"Takoma, Brightwood, Manor Park",38.96628,-77.0309
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803
Historic Anacostia,38.86432,-76.98749
"Shaw, Logan Circle",38.90756,-77.02212
"Takoma, Brightwood, Manor Park",38.96165,-77.01858
"Takoma, Brightwood, Manor Park",38.96923,-77.02041
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625
"Takoma, Brightwood, Manor Park",38.97474,-77.01997
"Congress Heights, Bellevue, Washington Highlands",38.82768,-76.99624
"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441
"Brightwood Park, Crestwood, Petworth",38.94482,-77.04437
"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441
"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441
"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96691,-77.0044
"Shaw, Logan Circle",38.91001,-77.02563
"Dupont Circle, Connecticut Avenue/K Street",38.9146,-77.03602
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92306,-77.10052
"Colonial Village, Shepherd Park, North Portal Estates",38.9806,-77.03084
"Howard University, Le Droit Park, Cardozo/Shaw",38.91611,-77.02662
"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465
"Colonial Village, Shepherd Park, North Portal Estates",38.9793,-77.0283
"Union Station, Stanton Park, Kingman Park",38.90094,-76.99943
"Union Station, Stanton Park, Kingman Park",38.89966,-76.99946
"Capitol View, Marshall Heights, Benning Heights",38.89094,-76.93638
"Capitol Hill, Lincoln Park",38.88408,-77.0035
"Brightwood Park, Crestwood, Petworth",38.94761,-77.03586
"Capitol Hill, Lincoln Park",38.89099,-76.99458
"Capitol Hill, Lincoln Park",38.88306,-76.99497
Historic Anacostia,38.86256,-76.98689
"Capitol Hill, Lincoln Park",38.87772,-76.985
"Union Station, Stanton Park, Kingman Park",38.89538,-76.98648
"Howard University, Le Droit Park, Cardozo/Shaw",38.91454,-77.01814
"Capitol Hill, Lincoln Park",38.88183,-76.98911
"Capitol Hill, Lincoln Park",38.88745,-76.99293
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92991,-77.01911
"Brightwood Park, Crestwood, Petworth",38.94306,-77.04405
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91096,-77.00858
